word,tone,mandarin,gloss,register,tone_base,checked,syllable_count,contains_glottal_stop,tone_value,syll1,syll2
faʔ,T4,发,deliver,1,T4,TRUE,1,TRUE,5,faʔ,
saʔ,T4,杀,kill,1,T4,TRUE,1,TRUE,5,saʔ,
vaʔ,T5,罚,punish,0,T5,TRUE,1,TRUE,3,vaʔ,
zaʔ,T5,石,stone,0,T5,TRUE,1,TRUE,3,zaʔ,
maʔ,T5,麦,wheat,0,T5,TRUE,1,TRUE,3,maʔ,
naʔ,T5,纳,accept,0,T5,TRUE,1,TRUE,3,naʔ,
pɛ.tsz,T1,杯子,cup,1,T1,FALSE,2,FALSE,53,pɛ,tsz
tɛ.ɕiŋ,T1,担心,worry,1,T1,FALSE,2,FALSE,53,tɛ,ɕiŋ
pɛ.tɕɪʔ,T2,背脊,back (of the body),1,T2,TRUE,2,TRUE,35,pɛ,tɕɪʔ
tɛ.tsz,T2,胆子,courage,1,T2,FALSE,2,FALSE,35,tɛ,tsz
