,聲韻,,聲調,字元,字數,,,,,,
103,pʰoŋ,,陰去35,捧,1,,,,,,
126,mi,,陰去35,祕,1,,,,,,
140,me,,陰去35,"美, 鎂",2,,,,,,
146,məŋ,,陰去35,猛,1,,,,,,
148,miŋ,,陰去35,"閩, 敏, 抿, 鳴, 皿, 脗, 閔",7,,,,,,
157,fi,,陰去35,"廢, 肺, 吠, 匪, 榧, 費, 誹, 斐, 䉬",9,,,,,,
159,fu,,陰去35,"脯, 膚, 府, 腑, 俯, 甫, 斧, 釜, 輔, 付, 賦, 傅, 赴, 訃, 富, 副, 匐, 咐",18,,,,,,
160,fɤ,,陰去35,"否, 缶",2,,,,,,
162,fe,,陰去35,"泛, 反, 販, 返, 㽹",5,,,,,,
164,fɑ̃,,陰去35,"妨, 倣, 紡, 仿, 彷, 放, 訪, 舫",8,,,,,,
166,fəŋ,,陰去35,"粉, 憤, 忿, 糞, 奮, 汾",6,,,,,,
168,foŋ,,陰去35,俸,1,,,,,,
184,ti,,陰去35,"底, 抵, 帝, 點, 店, 典, 惦, 締, 玷, 蒂, 邸, 諦, 詆, 砥, 癜, 渧",16,,,,,,
186,tu,,陰去35,"朶, 躱, 刴, 堵, 賭, 肚, 妬, 睹, 蠹",9,,,,,,
187,ta,,陰去35,"戴, 帶",2,,,,,,
189,tia,,陰去35,嗲,1,,,,,,
191,tɔ,,陰去35,"掏, 禱, 島, 倒, 到",5,,,,,,
193,tiɔ,,陰去35,"鳥, 釣, 弔, 屌",4,,,,,,
195,tɤ,,陰去35,"斗, 抖, 陡, 鬥, 蚪",5,,,,,,
198,te,,陰去35,"戴, 帶, 對, 擔, 膽, 撣, 誕, 旦, 疸",9,,,,,,
200,tø,,陰去35,"撣, 短, 斷, 鍛",4,,,,,,
201,tã,,陰去35,打,1,,,,,,
203,tɑ̃,,陰去35,"當, 黨, 擋, 檔",4,,,,,,
205,təŋ,,陰去35,"頓, 等, 凳, 鐙, 戥, 噸, 燉, 盹, 礅, 磴, 憕, 膯",12,,,,,,
207,tiŋ,,陰去35,"釘, 頂, 鼎, 訂, 酊, 濎",6,,,,,,
209,toŋ,,陰去35,"董, 懂, 凍, 棟",4,,,,,,
215,tʰi,,陰去35,"體, 替, 涕, 剃, 屉, 舔, 掭, 嚏, 忝",9,,,,,,
217,tʰu,,陰去35,"妥, 橢, 唾, 土, 吐, 兔, 蛻, 堍, 毻",9,,,,,,
219,tʰa,,陰去35,"太, 泰, 汰",3,,,,,,
221,tʰɔ,,陰去35,"討, 套",2,,,,,,
223,tʰiɔ,,陰去35,"跳, 糶",2,,,,,,
225,tʰɤ,,陰去35,"㪗, 透",2,,,,,,
227,tʰe,,陰去35,"態, 太, 腿, 退, 毯, 坦, 炭, 嘆, 褪, 汰, 頹, 碳, 袒",13,,,,,,
229,tʰø,,陰去35,"蛻, 探, 煺",3,,,,,,
230,tʰã,,陰去35,踼,1,,,,,,
232,tʰɑ̃,,陰去35,"倘, 躺, 燙, 趟, 淌",5,,,,,,
233,tʰəŋ,,陰去35,"氽, 㶒",2,,,,,,
235,tʰiŋ,,陰去35,"聽, 艇, 梃",3,,,,,,
237,tʰoŋ,,陰去35,"捅, 痛, 統",3,,,,,,
